"iata","name","city","subd","country","lat","lon","iso"
"SIO","Smithton Airport","","Tasmania","Australia","-40.835","145.084","AU"
"SHU","Smith Point Airport","","Northern Territory","Australia","-11.15","132.14999","AU"
"STH","Strathmore Airport","","Queensland","Australia","-17.85","142.567","AU"
"SNB","Snake Bay Airport","","Northern Territory","Australia","-11.4228","130.65401","AU"
"NLK","Norfolk Island International Airport","Burnt Pine","","Norfolk Island","-29.0416","167.939","NF"
"NOA","Nowra Airport","","New South Wales","Australia","-34.9489","150.537","AU"
"SLJ","Solomon Airport","Karijini National Park","Western Australia","Australia","-22.25528","117.76194","AU"
"SNH","Stanthorpe Airport","","Queensland","Australia","-28.6203","151.991","AU"
"SCG","Spring Creek Airport","","Queensland","Australia","-18.6333","144.567","AU"
"SHQ","Southport Airport","","Queensland","Australia","-27.915","153.373","AU"
"KSV","Springvale Airport","","Queensland","Australia","-23.55","140.7","AU"
"XRH","RAAF Base Richmond","Richmond","New South Wales","Australia","-33.6006","150.78101","AU"
"SRN","Strahan Airport","","Tasmania","Australia","-42.155","145.29201","AU"
"SYD","Sydney Kingsford Smith International Airport","Sydney","New South Wales","Australia","-33.9461","151.177","AU"
"HLS","St Helens Airport","","Tasmania","Australia","-41.3367","148.282","AU"
"TMW","Tamworth Airport","Tamworth","New South Wales","Australia","-31.0839","150.847","AU"
"WGA","Wagga Wagga City Airport","Wagga Wagga","New South Wales","Australia","-35.1653","147.466","AU"
"SWH","Swan Hill Airport","","Victoria","Australia","-35.3758","143.533","AU"
"SWC","Stawell Airport","","Victoria","Australia","-37.0717","142.741","AU"
"XTR","Tara Airport","","Queensland","Australia","-27.1567","150.47701","AU"
"TBL","Tableland Homestead Airport","","Western Australia","Australia","-17.2833","126.9","AU"
"XTO","Taroom Airport","","Queensland","Australia","-25.8017","149.89999","AU"
"TAQ","Tarcoola Airport","Tarcoola","South Australia","Australia","-30.7033","134.584","AU"
"TBK","Timber Creek Airport","","Northern Territory","Australia","-15.62","130.44501","AU"
"TDR","Theodore Airport","","Queensland","Australia","-24.9933","150.093","AU"
"TQP","Trepell Airport","","Queensland","Australia","-21.835","140.888","AU"
"TEF","Telfer Airport","","Western Australia","Australia","-21.715","122.229","AU"
"TEM","Temora Airport","","New South Wales","Australia","-34.4214","147.51199","AU"
"TAN","Tangalooma Airport","","Queensland","Australia","-27.13","153.36301","AU"
"XTG","Thargomindah Airport","","Queensland","Australia","-27.9864","143.811","AU"
"GTS","The Granites Airport","","Northern Territory","Australia","-20.5483","130.347","AU"
"TDN","Theda Station Airport","","Western Australia","Australia","-14.7881","126.496","AU"
"TYG","Thylungra Airport","","Queensland","Australia","-26.0833","143.467","AU"
"TYB","Tibooburra Airport","","New South Wales","Australia","-29.4511","142.058","AU"
"TKY","Turkey Creek Airport","Turkey Creek","Western Australia","Australia","-17.0408","128.20599","AU"
"PHQ","The Monument Airport","","Queensland","Australia","-21.8111","139.924","AU"
"TPR","Tom Price Airport","Tom Price","Western Australia","Australia","-22.746","117.869","AU"
"TUM","Tumut Airport","","New South Wales","Australia","-35.2628","148.241","AU"
"TYP","Tobermorey Airport","Tobermorey","Northern Territory","Australia","-22.2558","137.953","AU"
"ZBL","Thangool Airport","Biloela","Queensland","Australia","-24.4939","150.576","AU"
"TCA","Tennant Creek Airport","Tennant Creek","Northern Territory","Australia","-19.6344","134.183","AU"
"TCW","Tocumwal Airport","","New South Wales","Australia","-35.8117","145.608","AU"
"TRO","Taree Airport","Taree","New South Wales","Australia","-31.8886","152.51401","AU"
"TTX","Truscott Mungalalu Airport","","Western Australia","Australia","-14.0897","126.381","AU"
"TWB","Toowoomba Airport","","Queensland","Australia","-27.5428","151.916","AU"
"UDA","Undara Airport","","Queensland","Australia","-18.2","144.60001","AU"
"CZY","Cluny Airport","","Queensland","Australia","-24.5167","139.617","AU"
"USL","Useless Loop Airport","","Western Australia","Australia","-26.1667","113.4","AU"
"VCD","Victoria River Downs Airport","","Northern Territory","Australia","-16.40212","131.00497","AU"
"VNR","Vanrook Station Airport","","Queensland","Australia","-16.9633","141.95","AU"
"WLA","Wallal Airport","Wallal","Western Australia","Australia","-19.7736","120.649","AU"
"WAV","Wave Hill Airport","","Northern Territory","Australia","-17.3933","131.118","AU"
"WMB","Warrnambool Airport","","Victoria","Australia","-38.2953","142.44701","AU"
"SYU","Warraber Island Airport","Sue Islet","Queensland","Australia","-10.2083","142.825","AU"
"WIO","Wilcannia Airport","","New South Wales","Australia","-31.5264","143.375","AU"
"WLC","Walcha Airport","","New South Wales","Australia","-31.0","151.567","AU"
"WAZ","Warwick Airport","","Queensland","Australia","-28.1494","151.94299","AU"
"WND","Windarra Airport","","Western Australia","Australia","-28.475","122.242","AU"
"WNR","Windorah Airport","","Queensland","Australia","-25.4131","142.66701","AU"
"WON","Wondoola Airport","","Queensland","Australia","-18.575","140.892","AU"
"WGT","Wangaratta Airport","","Victoria","Australia","-36.4158","146.30701","AU"
"WYA","Whyalla Airport","Whyalla","South Australia","Australia","-33.0589","137.51401","AU"
"WIT","Wittenoom Airport","","Western Australia","Australia","-22.2183","118.348","AU"
"WKB","Warracknabeal Airport","","Victoria","Australia","-36.3211","142.41901","AU"
"WGE","Walgett Airport","","New South Wales","Australia","-30.0328","148.12601","AU"
"NTL","Newcastle Airport","Williamtown","New South Wales","Australia","-32.795","151.834","AU"
"WUN","Wiluna Airport","","Western Australia","Australia","-26.6292","120.221","AU"
"WPK","Wrotham Park Airport","","Queensland","Australia","-16.6583","144.002","AU"
"WDI","Wondai Airport","","Queensland","Australia","-26.2833","151.858","AU"
"WOL","Wollongong Airport","","New South Wales","Australia","-34.5611","150.789","AU"
"WLL","Wollogorang Airport","","Northern Territory","Australia","-17.22","137.923","AU"
"SXE","West Sale Airport","","Victoria","Australia","-38.0917","146.965","AU"
"WLO","Waterloo Airport","","Northern Territory","Australia","-16.63","129.32001","AU"
"WIN","Winton Airport","","Queensland","Australia","-22.3636","143.086","AU"
"WUD","Wudinna Airport","","South Australia","Australia","-33.0433","135.44701","AU"
"WEW","Wee Waa Airport","","New South Wales","Australia","-30.2583","149.408","AU"
"WRW","Warrawagine Airport","","Western Australia","Australia","-20.84646","120.70533","AU"
"WWI","Woodie Woodie Airport","Woodie Woodie","Western Australia","Australia","-21.6628","121.234","AU"
"WWY","West Wyalong Airport","West Wyalong","New South Wales","Australia","-33.9372","147.19099","AU"
"WYN","Wyndham Airport","","Western Australia","Australia","-15.5114","128.153","AU"
"BWT","Wynyard Airport","Burnie","Tasmania","Australia","-40.9989","145.731","AU"
"YLG","Yalgoo Airport","Yalgoo","Western Australia","Australia","-28.3553","116.684","AU"
