"iata","name","city","subd","country","lat","lon","iso"
"OCA","Ocean Reef Club Airport","Key Largo","Florida","United States of America","25.32432","-80.27573","US"
"CYT","Yakataga Airport","Yakataga","Alaska","United States of America","60.08085","-142.49549","US"
"FWL","Farewell Airport","Farewell","Alaska","United States of America","62.50918","-153.89063","US"
"CSE","Crested Butte Airpark","Crested Butte","Colorado","United States of America","38.85194","-106.93282","US"
"CUS","Columbus Municipal Airport","Columbus","New Mexico","United States of America","31.82371","-107.62697","US"
"JCY","Lbj Ranch Airport","Johnson City","Texas","United States of America","30.25181","-98.62253","US"
"ICY","Icy Bay Airport","Icy Bay","Alaska","United States of America","59.96902","-141.66177","US"
"HGZ","Hog River Airport","Hogatza","Alaska","United States of America","66.17613","-155.68482","US"
"GWV","Fokker Field","Bush","Louisiana","United States of America","30.59317","-89.87348","US"
"BYW","Blakely Island Airport","Blakely Island","Washington","United States of America","48.57899","-122.82629","US"
"DRF","Drift River Airport","Kenai","Alaska","United States of America","60.58887","-152.16198","US"
"BDF","Rinkenberger Airport","Bradford","Illinois","United States of America","41.23087","-89.61565","US"
"CTO","Calverton Executive Airpark","Calverton","New York","United States of America","40.9","-72.8","US"
"RFK","Rollang Field","Rolling Fork","Mississippi","United States of America","32.95429","-90.84593","US"
"BCS","Southern Seaplane Airport","Belle Chasse","Louisiana","United States of America","29.86604","-90.02229","US"
"CWS","Center Island Airport","Center Island","Washington","United States of America","48.4901","-122.83212","US"
"DUF","Pine Island Airport","Corolla","North Carolina","United States of America","36.2535","-75.78852","US"
"SSW","Stuart Island Airpark","Stuart Island","Washington","United States of America","48.67288","-123.17575","US"
"FOB","Fort Bragg Airport","Fort Bragg","California","United States of America","39.47433","-123.79557","US"
"MHN","Hooker County Airport","Mullen","Nebraska","United States of America","42.04216","-101.05966","US"
"AXB","Maxson Airfield","Alexandria Bay","New York","United States of America","44.31672","-75.89967","US"
"REE","Reese Airpark","Lubbock","Texas","United States of America","33.59476","-102.04342","US"
"AFT","Afutara Aerodrome","Bila","Malaita","Solomon Islands","-9.19139","160.94861","SB"
"RNA","Ulawa Airport","Arona","","Solomon Islands","-9.86054","161.97955","SB"
"ATD","Uru Harbour Airport","Atoifi","","Solomon Islands","-8.87333","161.011","SB"
"VEV","Barakoma Airport","Barakoma","","Solomon Islands","-7.91278","156.70599","SB"
"BPF","Batuna Aerodrome","Batuna Mission Station","Western Province","Solomon Islands","-8.56203","158.11931","SB"
"GEF","Geva Airport","Liangia","","Solomon Islands","-7.57583","156.597","SB"
"AKS","Auki Airport","Auki","","Solomon Islands","-8.70257","160.68201","SB"
"BNY","Bellona/Anua Airport","Anua","","Solomon Islands","-11.30222","159.79833","SB"
"CHY","Choiseul Bay Airport","","Choiseul","Solomon Islands","-6.71194","156.39611","SB"
"BAS","Ballalae Airport","Ballalae","","Solomon Islands","-6.99075","155.88666","SB"
"FRE","Fera/Maringe Airport","Fera Island","Isabel","Solomon Islands","-8.1075","159.577","SB"
"HIR","Honiara International Airport","Honiara","Guadalcanal","Solomon Islands","-9.428","160.05499","SB"
"MBU","Babanakira Airport","Mbambanakira","Guadalcanal","Solomon Islands","-9.7475","159.839","SB"
"AVU","Avu Avu Airport","","Guadalcanal","Solomon Islands","-9.86833","160.41056","SB"
"IRA","Ngorangora Airport","Kirakira","","Solomon Islands","-10.4497","161.89799","SB"
"SCZ","Santa Cruz/Graciosa Bay/Luova Airport","Santa Cruz/Graciosa Bay/Luova","Temotu","Solomon Islands","-10.7203","165.795","SB"
"MUA","Munda Airport","","","Solomon Islands","-8.32797","157.263","SB"
"GZO","Nusatupe Airport","Gizo","","Solomon Islands","-8.09778","156.864","SB"
"MNY","Mono Airport","Stirling Island","","Solomon Islands","-7.41694","155.565","SB"
"PRS","Parasi Airport","Parasi","","Solomon Islands","-9.64167","161.425","SB"
"RNL","Rennell/Tingoa Airport","Rennell Island","Rennell and Bellona","Solomon Islands","-11.5339","160.063","SB"
"EGM","Sege Airport","Sege","","Solomon Islands","-8.57889","157.87601","SB"
"NNB","Santa Ana Airport","Santa Ana Island","","Solomon Islands","-10.84799","162.45411","SB"
"RUS","Marau Airport","Marau","","Solomon Islands","-9.86167","160.825","SB"
"VAO","Suavanao Airport","Suavanao","","Solomon Islands","-7.58556","158.731","SB"
"XYA","Yandina Airport","Yandina","","Solomon Islands","-9.09282","159.21841","SB"
"KGE","Kagau Island Airport","Kagau Island","","Solomon Islands","-7.333","157.58299","SB"
"KWS","Kwailabesi Airport","Kwailabesi","","Solomon Islands","-8.36051","160.77513","SB"
"GTA","Gatokae Airport","Gatokae","","Solomon Islands","-8.73917","158.20306","SB"
"RIN","Ringi Cove Airport","Ringi Cove","","Solomon Islands","-8.12639","157.14301","SB"
"RBV","Ramata Airport","Ramata","","Solomon Islands","-8.16806","157.64301","SB"
"CEX","Chena Hot Springs Airport","Chena Hot Springs","Alaska","United States of America","65.05183","-146.04743","US"
"SOL","Solomon State Field","Solomon","Alaska","United States of America","64.56064","-164.44233","US"
"HED","Herendeen Bay Airport","Herendeen Bay","Alaska","United States of America","55.80139","-160.89925","US"
"TWE","Taylor Airport","Taylor","Alaska","United States of America","65.67928","-164.79881","US"
"LNI","Lonely Air Station","Lonely","Alaska","United States of America","70.91075","-153.24221","US"
"CDL","Candle 2 Airport","Candle","Alaska","United States of America","65.90766","-161.92631","US"
"BSW","Boswell Bay Airport","Boswell Bay","Alaska","United States of America","60.42306","-146.14591","US"
"INU","Nauru International Airport","Yaren District","Yaren","Nauru","-0.54746","166.91901","NR"
"ATP","Aitape Airport","Aitape","Sandaun","Papua New Guinea","-3.14361","142.34681","PG"
"AMU","Amanab Airport","Amanab","Sandaun","Papua New Guinea","-3.586","141.21433","PG"
"ADC","Andakombe Airport","Andekombe","Gulf","Papua New Guinea","-7.13722","145.74472","PG"
"AIE","Aiome Airport","Aiome","Madang","Papua New Guinea","-5.1457","144.7307","PG"
"KPM","Kompiam Airport","","Enga","Papua New Guinea","-5.38167","143.92472","PG"
"AUJ","Ambunti Airport","Ambunti","East Sepik","Papua New Guinea","-4.21567","142.82317","PG"
"AWB","Awaba Airport","Awaba","Western Province","Papua New Guinea","-8.00611","142.74835","PG"
"AYU","Aiyura Airport","Aiyura Valley","Eastern Highlands","Papua New Guinea","-6.33806","145.90417","PG"
"VMU","Baimuru Airport","Baimuru","Gulf","Papua New Guinea","-7.49686","144.8199","PG"
"BDZ","Baindoung Airport","","Morobe","Papua New Guinea","-6.34722","146.94222","PG"
"BUA","Buka Airport","Buka Island","Bougainville","Papua New Guinea","-5.42232","154.673","PG"
"OPU","Balimo Airport","Balimo","Western Province","Papua New Guinea","-8.05","142.933","PG"
"BUL","Bulolo Airport","Bulolo","Morobe","Papua New Guinea","-7.21629","146.64954","PG"
"CMU","Chimbu Airport","Kundiawa","Chimbu","Papua New Guinea","-6.02429","144.97099","PG"
"DER","Derim Airport","Derim","Morobe","Papua New Guinea","-6.14472","147.10722","PG"
"DAU","Daru Airport","Daru","Western Province","Papua New Guinea","-9.08676","143.20799","PG"
"XYR","Edwaki Airport","Yellow River Mission","Sandaun","Papua New Guinea","-3.88399","141.79223","PG"
"FNE","Fane Airport","Fane Mission","Central Province","Papua New Guinea","-8.54928","147.08583","PG"
"FIN","Finschhafen Airport","Buki","Morobe","Papua New Guinea","-6.62175","147.85405","PG"
"FAQ","Frieda River Airport","Frieda River","East Sepik","Papua New Guinea","-4.61047","141.96014","PG"
"GKA","Goroka Airport","Goronka","Eastern Highlands","Papua New Guinea","-6.08169","145.392","PG"
"GRL","Garasa Airport","Au","Morobe","Papua New Guinea","-7.98071","147.21346","PG"
"GAR","Garaina Airport","Garaina","Morobe","Papua New Guinea","-7.87563","147.14127","PG"
"GUR","Gurney Airport","Gurney","Milne Bay","Papua New Guinea","-10.3115","150.334","PG"
"GAP","Gusap Airport","Gusap","Morobe","Papua New Guinea","-6.0532","145.95905","PG"
"PNP","Girua Airport","Popondetta","Northern Province","Papua New Guinea","-8.80454","148.30901","PG"
"GMI","Gasmata Island Airport","Gasmata Island","West New Britain","Papua New Guinea","-6.27111","150.33099","PG"
"GVI","Green River Airport","Green River","Sandaun","Papua New Guinea","-3.90224","141.17052","PG"
"HKN","Kimbe Airport","Hoskins","West New Britain","Papua New Guinea","-5.46217","150.405","PG"
"KIE","Aropa Airport","Kieta","Bougainville Island","Papua New Guinea","-6.305","155.72778","PG"
"LSA","Losuia Airport","Losuia","Milne Bay","Papua New Guinea","-8.50582","151.08099","PG"
"KBM","Kabwum","","Morobe","Papua New Guinea","-6.15547","147.19147","PG"
"KDR","Kandrian Airport","Kandrian","West New Britain","Papua New Guinea","-6.2659","149.5581","PG"
"UNG","Kiunga Airport","Kiunga","Western Province","Papua New Guinea","-6.12571","141.282","PG"
"KRI","Kikori Airport","Kikori","Gulf","Papua New Guinea","-7.42438","144.25008","PG"
"KMA","Kerema Airport","Kerema","Gulf","Papua New Guinea","-7.96361","145.771","PG"
"KKD","Kokoda Airport","Kokoda","Northern Province","Papua New Guinea","-8.88468","147.73096","PG"
"KZF","Kaintiba Airport","Kaintiba","Gulf","Papua New Guinea","-7.50025","146.03383","PG"
"KUQ","Kuri Airport","Kuri","Gulf","Papua New Guinea","-7.13508","143.27611","PG"
"KVG","Kavieng Airport","Kavieng","New Ireland","Papua New Guinea","-2.5794","150.808","PG"
"KWO","Kawito Airport","Kawito","Western Province","Papua New Guinea","-7.97701","142.82358","PG"
"LNV","Londolovit Airport","Londolovit","New Ireland","Papua New Guinea","-3.04361","152.629","PG"
"LMY","Lake Murray Airport","Lake Murray","Western Province","Papua New Guinea","-7.00992","141.494","PG"
"LWI","Lowai Airstrip","Lowai","Morobe Province","Papua New Guinea","-6.3344","146.6458","PG"
"LMI","Lumi Airport","Lumi","Sandaun","Papua New Guinea","-3.47684","142.04129","PG"
"MYX","Menyamya Airport","Menyamya","Morobe","Papua New Guinea","-7.21167","146.01936","PG"
"MAG","Madang Airport","Madang","Madang","Papua New Guinea","-5.20708","145.789","PG"
"HGU","Mount Hagen Kagamuga Airport","Mount Hagen","Western Highlands","Papua New Guinea","-5.82679","144.29601","PG"
"MXK","Mindik Airport","Mindik","Morobe","Papua New Guinea","-6.47167","147.44114","PG"
"GUV","Mougulu Airport","Mougulu","Western Province","Papua New Guinea","-6.28086","142.42077","PG"
"MDU","Mendi Airport","","Southern Highlands","Papua New Guinea","-6.14774","143.657","PG"
"MAS","Momote Airport","","Manus","Papua New Guinea","-2.06189","147.424","PG"
"MXH","Moro Airport","Moro","Southern Highlands","Papua New Guinea","-6.36333","143.23801","PG"
"MIS","Misima Island Airport","Misima Island","Milne Bay","Papua New Guinea","-10.6892","152.838","PG"
"GBF","Negarbo(Negabo) Airport","Negarbo","Chimbu","Papua New Guinea","-6.56778","144.70306","PG"
"MFO","Manguna Airport","Manguna","East New Britain","Papua New Guinea","-5.57778","151.79233","PG"
"UKU","Nuku Airport","Nuku","Sandaun","Papua New Guinea","-3.67665","142.48433","PG"
"LAE","Lae Nadzab Airport","Nadzab","Morobe","Papua New Guinea","-6.56983","146.726","PG"
"OGE","Ogeranang Airport","","Morobe","Papua New Guinea","-6.46675","147.36417","PG"
"OSE","Omora Airport","Omora","Morobe","Papua New Guinea","-7.82778","147.08064","PG"
"PDI","Pindiu Airport","Pindiu","Morobe","Papua New Guinea","-6.44514","147.51583","PG"
"POM","Port Moresby Jacksons International Airport","Port Moresby","National Capital","Papua New Guinea","-9.44338","147.22","PG"
"KRJ","Karawari Airstrip","","East Sepik","Papua New Guinea","-4.59667","143.5225","PG"
"RMN","Rumginae Airport","","Western Province","Papua New Guinea","-5.89722","141.27167","PG"
"KMR","Karimui Airport","Karimui","Chimbu","Papua New Guinea","-6.4921","144.823","PG"
"SBE","Suabi Airport","","Western Province","Papua New Guinea","-6.10444","142.27833","PG"
"NIS","Simberi Airport","Simberi Island","New Ireland","Papua New Guinea","-2.66222","151.99778","PG"
"SIL","Sila Airport","Sila Mission","Northern Province","Papua New Guinea","-9.07356","148.38925","PG"
"SIM","Simbai Airport","Simbai","Western Highlands","Papua New Guinea","-5.27861","144.54472","PG"
"SKC","Suki Airport","Suki","Western Province","Papua New Guinea","-8.0466","141.7222","PG"
"TIZ","Tari Airport","Tari","Southern Highlands","Papua New Guinea","-5.845","142.948","PG"
"TBG","Tabubil Airport","Tabubil","Western Province","Papua New Guinea","-5.27861","141.226","PG"
"TFM","Telefomin Airport","Telefomin","Western Province","Papua New Guinea","-5.12608","141.64192","PG"
"TPI","Tapini Airport","Tapini","Central Province","Papua New Guinea","-8.35667","146.98917","PG"
"TAJ","Tadji Airport","Aitape","Sandaun","Papua New Guinea","-3.19819","142.43096","PG"
"RAB","Tokua Airport","Tokua","East New Britain","Papua New Guinea","-4.34046","152.38","PG"
"TKW","Tekin Airport","Tekin","Sandaun","Papua New Guinea","-5.24367","142.16519","PG"
"TFI","Tufi Airport","Tufi","Northern Province","Papua New Guinea","-9.07595","149.31984","PG"
"VAI","Vanimo Airport","","Sandaun","Papua New Guinea","-2.69717","141.302","PG"
"WAO","Wabo Airport","Wabo","Gulf","Papua New Guinea","-6.98944","145.07511","PG"
"WBM","Wapenamanda Airport","","Enga","Papua New Guinea","-5.6433","143.895","PG"
"AGL","Wanigela Airport","","Northern Province","Papua New Guinea","-9.3375","149.15556","PG"
"WWK","Wewak International Airport","Wewak","East Sepik","Papua New Guinea","-3.58383","143.66901","PG"
"WOA","Wonenara Airport","Wonenara","Eastern Highlands","Papua New Guinea","-6.79686","145.89194","PG"
"WSU","Wasu Airport","Wasu","Morobe","Papua New Guinea","-5.96171","147.19823","PG"
"WTP","Woitape Airport","Fatima Mission","Central Province","Papua New Guinea","-8.54583","147.2525","PG"
"WUG","Wau Airport","Wau","Morobe","Papua New Guinea","-7.34556","146.71861","PG"
"JEG","Aasiaat Airport","Aasiaat","Qaasuitsup","Greenland","68.7218","-52.7847","GL"
"UAK","Narsarsuaq Airport","Narsarsuaq","Kujalleq","Greenland","61.1605","-45.426","GL"
"CNP","Neerlerit Inaat Airport","Neerlerit Inaat","Sermersooq","Greenland","70.7431","-22.6505","GL"
"GOH","Godthaab / Nuuk Airport","Nuuk","","Greenland","64.1909","-51.6781","GL"
"JAV","Ilulissat Airport","Ilulissat","","Greenland","69.2432","-51.0571","GL"
"KUS","Kulusuk Airport","Kulusuk","Sermersooq","Greenland","65.5736","-37.1236","GL"
"JSU","Maniitsoq Airport","Maniitsoq","","Greenland","65.4125","-52.9394","GL"
"JFR","Paamiut Airport","Paamiut","","Greenland","62.01474","-49.67094","GL"
"NAQ","Qaanaaq Airport","Qaanaaq","","Greenland","77.4886","-69.3887","GL"
"SFJ","Kangerlussuaq Airport","Kangerlussuaq","Qeqqata","Greenland","67.01222","-50.7116","GL"
"SGG","Sermiligaaq Heliport","Sermiligaaq","Sermersooq","Greenland","65.90583","-36.37833","GL"
"JHS","Sisimiut Airport","Sisimiut","","Greenland","66.9513","-53.7293","GL"
"THU","Thule Air Base","Thule","Qaasuitsup","Greenland","76.5312","-68.7032","GL"
"JUV","Upernavik Airport","Upernavik","","Greenland","72.7902","-56.1306","GL"
"JQA","Qaarsut Airport","Uummannaq","","Greenland","70.7342","-52.6962","GL"
"AEY","Akureyri Airport","Akureyri","Northeast","Iceland","65.66","-18.0727","IS"
"BIU","Bildudalur Airport","Bildudalur","Westfjords","Iceland","65.6413","-23.5462","IS"
"BGJ","Borgarfjordur eystri Airport","Borgarfjordur eystri","East","Iceland","65.5164","-13.805","IS"
"BJD","Bakkafjordur Airport","Bakkafjordur","Northeast","Iceland","66.0219","-14.8244","IS"
"BLO","Hjaltabakki Airport","Blonduos","Northwest","Iceland","65.645","-20.2875","IS"
"BXV","Breiddalsvik Airport","Breiddalsvik","East","Iceland","64.79","-14.0228","IS"
"DJU","Djupivogur Airport","Djupivogur","East","Iceland","64.6442","-14.2828","IS"
"EGS","Egilsstadir Airport","Egilsstadir","East","Iceland","65.2833","-14.4014","IS"
"FAS","Faskrudsfjordur Airport","Faskrudsfjordur","East","Iceland","64.9317","-14.0606","IS"
"FAG","Fagurholsmyri Airport","Fagurholsmyri","East","Iceland","63.8747","-16.6411","IS"
"GUU","Grundarfjordur Airport","Grundarfjordur","West","Iceland","64.9914","-23.2247","IS"
"GJR","Gjogur Airport","Gjogur","Westfjords","Iceland","65.9953","-21.3269","IS"
"GRY","Grimsey Airport","Grimsey","Northeast","Iceland","66.5458","-18.0173","IS"
"HVK","Holmavik Airport","Holmavik","Westfjords","Iceland","65.7047","-21.6964","IS"
"HFN","Hornafjordur Airport","Hornafjordur","East","Iceland","64.2956","-15.2272","IS"
"FLI","Holt Airport","Flateyri","Westfjords","Iceland","66.01418","-23.44169","IS"
"HZK","Husavik Airport","Husavik","Northeast","Iceland","65.9523","-17.426","IS"
"IFJ","Isafjordur Airport","Isafjordur","Westfjords","Iceland","66.0581","-23.1353","IS"
"KEF","Keflavik International Airport","Reykjavik","Southern Peninsula","Iceland","63.985","-22.6056","IS"
"OPA","Kopasker Airport","Kopasker","Northeast","Iceland","66.3108","-16.4667","IS"
"SAK","Saudarkrokur Airport","Saudarkrokur","Northwest","Iceland","65.7317","-19.5728","IS"
"NOR","Nordfjordur Airport","Nordfjordur","East","Iceland","65.1319","-13.7464","IS"
"OFJ","Olafsfjordur Airport","Olafsfjordur","Northeast","Iceland","66.0833","-18.6667","IS"
"PFJ","Patreksfjordur Airport","Patreksfjordur","Westfjords","Iceland","65.5558","-23.965","IS"
"RHA","Reykholar Airport","Reykholar","Westfjords","Iceland","65.45263","-22.20612","IS"
"OLI","Rif Airport","Rif","West","Iceland","64.9114","-23.8231","IS"
"RFN","Raufarhofn Airport","Raufarhofn","Northeast","Iceland","66.4064","-15.9183","IS"
"RKV","Reykjavik Airport","Reykjavik","Capital Region","Iceland","64.13","-21.9406","IS"
"MVA","Reykjahlid Airport","Myvatn","Northeast","Iceland","65.6558","-16.9181","IS"
"SIJ","Siglufjordur Airport","Siglufjordur","Northeast","Iceland","66.1333","-18.9167","IS"
"SYK","Stykkisholmur Airport","Stykkisholmur","West","Iceland","65.0581","-22.7942","IS"
"TEY","Tingeyri Airport","Tingeyri","Westfjords","Iceland","65.8703","-23.56","IS"
"THO","Thorshofn Airport","Thorshofn","Northeast","Iceland","66.2185","-15.3356","IS"
"VEY","Vestmannaeyjar Airport","Vestmannaeyjar","South","Iceland","63.4243","-20.2789","IS"
"VPN","Vopnafjordur Airport","Vopnafjordur","East","Iceland","65.7206","-14.8506","IS"
"PRN","Pristina International Airport","Lipjan","Pristina","Kosovo","42.57283","21.03583","XK"
"SRF","San Rafael Airport","San Rafael","California","United States of America","38.01687","-122.52081","US"
"PYS","Paradise Skypark Airport","Paradise","California","United States of America","39.71056","-121.6165","US"
"YZZ","Trail Airport","Trail","British Columbia","Canada","49.0556","-117.609","CA"
"YMB","Merritt Airport","Merritt","British Columbia","Canada","50.1228","-120.747","CA"
"YCA","Courtenay Airpark","Courtenay","British Columbia","Canada","49.6794","-124.982","CA"
"CFQ","Art Sutcliffe Field","Creston","British Columbia","Canada","49.0369","-116.498","CA"
"YAA","Anahim Lake Airport","Anahim Lake","British Columbia","Canada","52.4525","-125.303","CA"
"DGF","Douglas Lake Airport","Douglas Lake","British Columbia","Canada","50.16546","-120.17127","CA"
"JHL","Fort MacKay/Albian Aerodrome","Albian Village","Alberta","Canada","57.2239","-111.419","CA"
"DUQ","Duncan Airport","Duncan","British Columbia","Canada","48.75453","-123.7097","CA"
"YHS","Sechelt-Gibsons Airport","Sechelt-Gibsons","British Columbia","Canada","49.4606","-123.719","CA"
"YAD","Moose Lake (Lodge) Airport","Moose Lake","British Columbia","Canada","53.0733","-125.409","CA"
"XQU","Qualicum Beach Airport","Qualicum Beach","British Columbia","Canada","49.3372","-124.394","CA"
"ZEL","Bella Bella (Campbell Island) Airport","Bella Bella","British Columbia","Canada","52.185","-128.157","CA"
"YTX","Telegraph Creek Airport","Telegraph Creek","British Columbia","Canada","57.9167","-131.117","CA"
"YPB","Port Alberni Airport","Port Alberni","British Columbia","Canada","49.3219","-124.931","CA"
"YBO","Bob Quinn Lake Airport","Bob Quinn Lake","British Columbia","Canada","56.9667","-130.25","CA"
"YWM","Williams Harbour Airport","Williams Harbour","Newfoundland and Labrador","Canada","52.5669","-55.7847","CA"
"YSO","Postville Airport","Postville","Newfoundland and Labrador","Canada","54.9106","-59.7867","CA"
"YBI","Black Tickle Airport","Black Tickle","Newfoundland and Labrador","Canada","53.4694","-55.785","CA"
"YHG","Charlottetown Airport","Charlottetown","Newfoundland and Labrador","Canada","52.765","-56.1156","CA"
"YFX","St. Lewis (Fox Harbour) Airport","St. Lewis","Newfoundland and Labrador","Canada","52.3728","-55.6739","CA"
"YHA","Port Hope Simpson Airport","Port Hope Simpson","Newfoundland and Labrador","Canada","52.5281","-56.2861","CA"
"YRG","Rigolet Airport","Rigolet","Newfoundland and Labrador","Canada","54.1797","-58.4575","CA"
"DVK","Diavik Airport","Diavik","Northwest Territories","Canada","64.5114","-110.289","CA"
"YCK","Colville Lake Airport","Colville Lake","Northwest Territories","Canada","67.0333","-126.083","CA"
"ZFW","Fairview Airport","Fairview","Alberta","Canada","56.0814","-118.435","CA"
"YJP","Hinton / Jasper-Hinton Airport","Hinton","Alberta","Canada","53.3192","-117.753","CA"
"YLE","Whati Airport","Whati","Northwest Territories","Canada","63.1317","-117.246","CA"
"YGC","Grande Cache Airport","Grande Cache","Alberta","Canada","53.9169","-118.874","CA"
"YDC","Drayton Valley Industrial Airport","Drayton Valley","Alberta","Canada","53.2658","-114.96","CA"
"NML","Fort McMurray / Mildred Lake Airport","Fort McMurray","Alberta","Canada","57.0556","-111.574","CA"
"XMP","Macmillan Pass Airport","Macmillan Pass","Yukon","Canada","63.1811","-130.202","CA"
"DAS","Great Bear Lake Airport","Great Bear Lake","Northwest Territories","Canada","66.7031","-119.707","CA"
"YFI","Fort Mackay / Firebag","Suncor Energy Site","Alberta","Canada","57.27583","-110.97667","CA"
"YOE","Donnelly Airport","Donnelly","Alberta","Canada","55.7094","-117.094","CA"
"YDJ","Hatchet Lake Airport","Hatchet Lake","Saskatchewan","Canada","58.6625","-103.538","CA"
"YDU","Kasba Lake Airport","Kasba Lake","Northwest Territories","Canada","60.2919","-102.502","CA"
"XCL","Cluff Lake Airport","Cluff Lake","Saskatchewan","Canada","58.3911","-109.516","CA"
"YKE","Knee Lake Airport","Knee Lake","Manitoba","Canada","54.9153","-94.7981","CA"
"SUR","Summer Beaver Airport","Summer Beaver","Ontario","Canada","52.7086","-88.5419","CA"
"YTT","Tisdale Airport","Tisdale","Saskatchewan","Canada","52.8367","-104.067","CA"
"YAX","Wapekeka Airport","Angling Lake","Ontario","Canada","53.8492","-89.5794","CA"
"WNN","Wunnumin Lake Airport","Wunnumin Lake","Ontario","Canada","52.8939","-89.2892","CA"
"YNO","North Spirit Lake Airport","North Spirit Lake","Ontario","Canada","52.49","-92.9711","CA"
"YDW","North of Sixty Airport","Obre Lake","Northwest Territories","Canada","60.3164","-103.129","CA"
"XBE","Bearskin Lake Airport","Bearskin Lake","Ontario","Canada","53.9656","-91.0272","CA"
"YNP","Natuashish Airport","Natuashish","Newfoundland and Labrador","Canada","55.9139","-61.1844","CA"
"YPD","Parry Sound Area Municipal Airport","Parry Sound","Ontario","Canada","45.2575","-79.8297","CA"
"XBR","Brockville - Thousand Islands Regional Tackaberry Airport","Brockville","Ontario","Canada","44.6394","-75.7503","CA"
"KIF","Kingfisher Lake Airport","Kingfisher Lake","Ontario","Canada","53.0125","-89.8553","CA"
"YKD","Kincardine Airport","Kincardine","Ontario","Canada","44.2014","-81.6067","CA"
"YOG","Ogoki Post Airport","Ogoki Post","Ontario","Canada","51.6586","-85.9017","CA"
"YEB","Bar River Airport","Bar River","Ontario","Canada","46.4203","-84.0922","CA"
"YHP","Poplar Hill Airport","Poplar Hill","Ontario","Canada","52.1133","-94.2556","CA"
"YSA","Sable Island Landing Strip","Sable Island","Nova Scotia","Canada","43.93035","-59.95977","CA"
"YLS","Lebel-sur-Quevillon Airport","Lebel-sur-Quevillon","Quebec","Canada","49.0303","-77.0172","CA"
"YNX","Snap Lake Airport","Snap Lake","Northwest Territories","Canada","63.5936","-110.906","CA"
"YKU","Chisasibi Airport","Chisasibi","Quebec","Canada","53.8056","-78.9169","CA"
"ZTB","Tete-a-la-Baleine Airport","Tete-a-la-Baleine","Quebec","Canada","50.6744","-59.3836","CA"
"YAU","Donaldson Airport","Kattiniq","Quebec","Canada","61.6622","-73.3214","CA"
"YFG","Fontanges Airport","Fontanges","Quebec","Canada","54.5539","-71.1733","CA"
"ZLT","La Tabatiere Airport","La Tabatiere","Quebec","Canada","50.8308","-58.9756","CA"
"YAB","Arctic Bay Airport","","Nunavut","Canada","73.00577","-85.04251","CA"
"YAC","Cat Lake Airport","Cat Lake","Ontario","Canada","51.7272","-91.8244","CA"
"YAR","La Grande-3 Airport","La Grande-3","Quebec","Canada","53.5717","-76.1964","CA"
"YAG","Fort Frances Municipal Airport","Fort Frances","Ontario","Canada","48.6542","-93.4397","CA"
"YAH","La Grande-4 Airport","La Grande-4","Quebec","Canada","53.7547","-73.6753","CA"
"YAL","Alert Bay Airport","Alert Bay","British Columbia","Canada","50.5822","-126.916","CA"
"YAM","Sault Ste Marie Airport","Sault Ste Marie","Ontario","Canada","46.485","-84.5094","CA"
"XKS","Kasabonika Airport","Kasabonika","Ontario","Canada","53.5247","-88.6428","CA"
"YKG","Kangirsuk Airport","Kangirsuk","Quebec","Canada","60.0272","-69.9992","CA"
"YAT","Attawapiskat Airport","Attawapiskat","Ontario","Canada","52.9275","-82.4319","CA"
"YAY","St. Anthony Airport","St. Anthony","Newfoundland and Labrador","Canada","51.3919","-56.0831","CA"
"YAZ","Tofino / Long Beach Airport","Tofino","British Columbia","Canada","49.07983","-125.7756","CA"
"YBA","Banff Airport","Banff","Alberta","Canada","51.20734","-115.54186","CA"
"YBB","Kugaaruk Airport","Kugaaruk","Nunavut","Canada","68.5344","-89.8081","CA"
"YBC","Baie Comeau Airport","Baie-Comeau","Quebec","Canada","49.1325","-68.2044","CA"
"QBC","Bella Coola Airport","Bella Coola","British Columbia","Canada","52.3875","-126.596","CA"
"YBE","Uranium City Airport","Uranium City","Saskatchewan","Canada","59.5614","-108.481","CA"
"YBY","Bonnyville Airport","Bonnyville","Alberta","Canada","54.3042","-110.744","CA"
"YBG","CFB Bagotville","Bagotville","Quebec","Canada","48.3306","-70.9964","CA"
"YBK","Baker Lake Airport","Baker Lake","Nunavut","Canada","64.2989","-96.0778","CA"
"YBL","Campbell River Airport","Campbell River","British Columbia","Canada","49.9508","-125.271","CA"
"XTL","Tadoule Lake Airport","Tadoule Lake","Manitoba","Canada","58.7061","-98.5122","CA"
"YBR","Brandon Municipal Airport","Brandon","Manitoba","Canada","49.91","-99.9519","CA"
"YBT","Brochet Airport","Brochet","Manitoba","Canada","57.8894","-101.679","CA"
"YBV","Berens River Airport","Berens River","Manitoba","Canada","52.3589","-97.0183","CA"
"YBX","Lourdes de Blanc Sablon Airport","Lourdes-De-Blanc-Sablon","Quebec","Canada","51.4436","-57.1853","CA"
"YRF","Cartwright Airport","Cartwright","Newfoundland and Labrador","Canada","53.6828","-57.0419","CA"
"YCB","Cambridge Bay Airport","Cambridge Bay","Nunavut","Canada","69.1081","-105.138","CA"
"YCC","Cornwall Regional Airport","Cornwall","Quebec","Canada","45.0928","-74.5633","CA"
"YCD","Nanaimo Airport","Nanaimo","British Columbia","Canada","49.0523","-123.87","CA"
"YCE","James T. Field Memorial Aerodrome","Centralia","Ontario","Canada","43.2856","-81.5083","CA"
